Country_Code,Internet_%,Agri_GDP_%,GDP_per_Capita,Female_LFP_%,Cluster_ID
ARE,100,0.740896925,41828.55533,53.057,1
BHR,100,0.246160469,25234.40256,42.205,1
COM,32.7685,35.16432412,1368.374189,47.033,2
DJI,63.2573,2.631017922,2959.78673,18.678,0
DZA,74.8319,10.64706386,4544.466881,14.331,0
EGY,72.1981,10.94575352,4029.782955,15.233,0
IRQ,78.7156,2.058706214,4412.997331,11.183,0
JOR,90.5,4.817844571,3909.802289,13.922,0
KWT,99.7237,0.402460239,26579.83216,49.616,1
LBN,82.798,1.189573263,5909.036516,22.339,0
LBY,88.6412,1.686437699,7002.681893,33.631,0
MAR,89.9,9.796188938,3334.911621,19.584,0
MRT,34.3001,21.23020139,1576.756241,26.05,2
OMN,95.2453,2.108271147,18792.44606,30.795,1
PSE,88.6469,5.745219274,3099.960901,18.934,0
QAT,99.6528,0.256532188,64315.63557,63.54,1
SAU,100,2.214791591,26706.91793,34.098,1
TUN,70.5532,10.82172477,3986.545583,27.519,0
