Country_Code,Internet_%,Agri_GDP_%,GDP_per_Capita,Female_LFP_%
ARE,100.0,0.740896924545652,41828.5553298104,53.057
BHR,100.0,0.246160469147506,25234.40256182,42.205
COM,32.7685,35.164324124624,1368.3741885336,47.033
DJI,63.2573,2.63101792247644,2959.78673011268,18.678
DZA,74.8319,10.6470638553472,4544.46688060372,14.331
EGY,72.1981,10.9457535224737,4029.78295457978,15.233
IRQ,78.7156,2.05870621388374,4412.99733146512,11.183
JOR,90.5,4.81784457116001,3909.80228869045,13.922
KWT,99.7237,0.402460238899801,26579.8321646876,49.616
LBN,82.798,1.1895732629522,5909.03651555028,22.339
LBY,88.6412,1.68643769937353,7002.68189296358,33.631
MAR,89.9,9.79618893785634,3334.91162109375,19.584
MRT,34.3001,21.2302013888594,1576.75624107308,26.05
OMN,95.2453,2.10827114663434,18792.4460565306,30.795
PSE,88.6469,5.74521927421669,3099.9609010368,18.934
QAT,99.6528,0.256532188320967,64315.6355652952,63.54
SAU,100.0,2.21479159080364,26706.917926066,34.098
TUN,70.5532,10.8217247722212,3986.54558325666,27.519
